symbol,atomic_number,atomic_radius,atomic_volume,boiling_point,density,dipole_polarizability,electron_affinity,valance_main,evaporation_heat,fusion_heat,group_id,lattice_constant,melting_point,period,series_id,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,en_allen,heat_of_formation,c6,covalent_radius_bragg,covalent_radius_slater,vdw_radius_batsanov,vdw_radius_uff,vdw_radius_mm3,abundance_crust,abundance_sea,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_weight_uncertainty,is_monoisotopic,atomic_radius_rahm,covalent_radius_pyykko_double,discovery_year,mendeleev_number,dipole_polarizability_unc,pettifor_number,glawe_number,magp_column,magp_electron_affinity,magp_atomic_volume,magp_atomic_masses,magp_valence_d,magp_valence_s,magp_T_melt,magp_electronegativity,magp_unfilled_f,magp_valence_p,magp_unfilled_d,magp_valence_f,magp_row,magp_unfilled,magp_valence,magp_T_boil,magp_magnetic_moment,magp_cohesive_energy,magp_density,magp_covalent_radius,magp_polarizability,imat_electron_affinity,imat_electronegativity,imat_electron_binding_energy,imat_atomic_radius,imat_valence,imat_cohesive_energy,imat_ionization_energy,ase_magnetic_moment,pymg_atomic_radius,pymg_electronegativity,ionization_energy,pseudo_POMASS,pseudo_ZVAL,pseudo_ENMAX,pseudo_ENMIN,pseudo_RCORE,pseudo_RWIGS,pseudo_EATOM,pseudo_RPACOR,pseudo_RCLOC,pseudo_EAUG,pseudo_RMAX,pseudo_RAUG,pseudo_RDEP,pseudo_RDEPT,pseudo_DEXC,pseudo_IUNSCR,pseudo_s_occ,pseudo_p_occ,pseudo_d_occ,pseudo_f_occ,pseudo_avg_orbital_energy,pseudo_min_orbital_energy,pseudo_max_orbital_energy,pseudo_avg_proj_energy,pseudo_num_projectors
H,1,79.0,14.1,20.28,0.0708,4.50711,0.754195,1.0,0.904,0.117,1.0,3.75,14.01,1,1,0.0,0.1815,110.0,31.0,32,2.2,13.61,217.998,6.499026705,0.0,25.0,0.0,288.6,162.0,1400.0,108000.0,0.2638,120.0,6.51,1.008,0.0,0,154.0,0.0,1766.0,105,3e-05,103.0,103.0,1.0,73.0,18618.05194,1.008,0.0,1.0,14.01,2.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.13,1.0,0.0,0.0899,0.31,0.666793,73.0,2.1,13.6,37.0,1.0,0.0,13.5984,1.0,0.25,2.2,13.59843401,1.0,1.0,250.0,200.0,1.1,0.7,12.4884,0.0,0.701,400.0,1.123,1.2,1.112,0.926,0.0,0.0,0.0,0.0,0.0,0.0,-6.4927,-6.4927,-6.4927,-1.257194733333333,3.0
He,2,0.0,31.8,4.216,0.147,1.38375,-19.7,2.0,0.08,0.0,18.0,3.57,0.95,1,2,5.188,0.152,140.0,28.0,46,0.0,24.59,0.0,1.42,0.0,0.0,0.0,236.2,153.0,0.008,7e-06,0.442712,143.0,1.47,4.002602,2e-06,0,134.0,0.0,1895.0,112,2e-05,1.0,1.0,18.0,0.0,37236.03556,4.0026,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.07,0.0,0.0,0.1785,0.28,0.2050522,0.0,0.0,24.6,32.0,0.0,0.0,24.5873,0.0,0.0,0.0,24.58738794,4.0,2.0,478.896,359.172,1.1,1.2,78.7251,0.0,0.703,1180.948,1.121,1.2,1.11,0.925,0.0,0.0,0.0,0.0,0.0,0.0,-15.7639,-15.7639,-15.7639,-5.2546296,3.0
Li,3,155.0,13.1,1118.15,0.534,164.1125,0.618049,1.0,148.0,2.89,1.0,3.49,553.69,2,3,3.489,84.8,182.0,128.0,133,0.98,5.392,159.3,1392.0,150.0,145.0,220.0,245.1,255.0,20.0,0.18,0.105093,212.0,1410.0,6.94,0.0,0,220.0,124.0,1817.0,1,0.0005,12.0,12.0,1.0,60.0,21.54405808,6.94,0.0,1.0,453.69,0.98,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1615.0,1.0,1.63,535.0,1.28,24.335,60.0,0.98,54.7,134.0,1.0,1.63,0.98,1.0,1.45,0.98,5.391714761,7.01,1.0,140.0,100.0,2.05,2.6,5.3001,1.5,0.0,331.638,2.098,1.3,2.094,1.81,0.0,1.0,1.0,0.0,0.0,0.0,-27.36455,-51.8549,-2.8742,5.4040704,4.0
Be,4,112.0,5.0,3243.0,1.848,37.74,-2.4,2.0,309.0,12.21,2.0,2.29,1551.0,2,4,1.824,201.0,153.0,96.0,102,1.57,9.323,324.0,227.0,115.0,105.0,190.0,274.5,223.0,2.8,5.6e-06,0.144986,198.0,214.0,9.0121831,5e-07,True,219.0,90.0,1798.0,75,0.03,77.0,77.0,2.0,0.0,8.098176455,9.01218,0.0,2.0,1560.0,1.57,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2743.0,0.0,3.32,1848.0,0.96,5.6,0.0,1.57,111.5,90.0,2.0,3.32,9.3227,0.0,1.05,1.57,9.322699,9.013,2.0,247.543,185.658,1.9,1.88,27.4793,1.58,0.0,318.781,1.944,1.3,2.003,1.802,0.0,1.0,2.0,0.0,0.0,0.0,-37.95643333333334,-106.2287,-2.0244,9.084439399999999,5.0
B,5,98.0,4.6,3931.0,2.34,20.5,0.279723,3.0,504.5,23.6,13.0,8.73,2573.0,2,5,1.025,27.4,192.0,84.0,85,2.04,12.13,565.0,99.5,0.0,85.0,180.0,408.3,215.0,10.0,4.44,0.184886,191.0,99.2,10.81,0.0,0,205.0,78.0,1808.0,81,0.1,86.0,86.0,13.0,27.0,7.297767265,10.81,0.0,2.0,2348.0,2.04,0.0,1.0,0.0,0.0,2.0,5.0,3.0,4273.0,1.0,5.81,2460.0,0.84,3.03,27.0,2.04,188.0,82.0,3.0,5.81,8.298,1.0,0.85,2.04,8.298019,10.811,3.0,318.614,238.96,1.7,1.71,71.1703,1.2,0.0,535.514,1.732,1.3,1.757,1.436,0.0,1.0,2.0,1.0,0.0,0.0,-64.5465,-180.5896,-3.6068,-2.0310827999999996,5.0
C,6,91.0,5.3,5100.0,2.25,11.3,1.262119,4.0,0.0,0.0,14.0,3.57,3820.0,2,1,0.711,1.59,170.0,73.0,75,2.55,15.05,716.87,46.6,77.0,70.0,170.0,385.1,204.0,200.0,28.0,0.224776,177.0,47.9,12.011,0.0,0,190.0,67.0,0.0,87,0.2,95.0,87.0,14.0,154.0,8.825089715,12.011,0.0,2.0,3823.0,2.55,0.0,2.0,0.0,0.0,2.0,4.0,4.0,4300.0,2.0,7.37,2260.0,0.76,1.67,154.0,2.55,284.2,77.0,4.0,7.37,11.2603,2.0,0.7,2.55,11.260296,12.011,4.0,400.0,300.0,1.5,1.63,147.156,1.2,0.0,644.873,1.529,1.3,1.501,1.3,0.0,1.0,2.0,2.0,0.0,0.0,-97.4717,-273.3789,-5.2854,0.26674611999999964,5.0
N,7,92.0,17.3,77.4,0.808,7.4,-1.4,5.0,0.0,0.0,15.0,4.039,63.29,2,1,0.0,0.026,155.0,71.0,71,3.04,18.13,472.44,24.2,65.0,65.0,160.0,366.0,193.0,19.0,0.5,0.26493,166.0,25.7,14.007,0.0,0,179.0,60.0,1772.0,93,0.2,100.0,88.0,15.0,0.0,18592.49897,14.007,0.0,2.0,63.05,3.04,0.0,3.0,0.0,0.0,2.0,3.0,5.0,77.21,3.0,4.92,1.251,0.71,1.1,7.0,3.04,37.3,75.0,5.0,4.92,14.5341,3.0,0.65,3.04,14.53413,14.001,5.0,400.0,300.0,1.5,1.4,264.5486,1.2,0.0,627.112,1.529,1.3,1.514,1.338,0.0,1.0,2.0,3.0,0.0,0.0,-136.79683333333335,-384.7179,-7.0898,-7.290663660000002,5.0
O,8,0.0,14.0,90.19,1.149,5.3,1.4611135,6.0,0.0,0.0,16.0,6.83,54.8,2,1,0.0,0.027,152.0,66.0,63,3.44,21.36,249.229,15.6,65.0,60.0,155.0,350.0,182.0,461000.0,857000.0,0.304575,150.0,16.7,15.999,0.0,0,171.0,57.0,1774.0,99,0.2,101.0,97.0,16.0,141.0,18592.19717,15.999,0.0,2.0,54.8,3.44,0.0,4.0,0.0,0.0,2.0,2.0,6.0,90.1,2.0,2.6,1.429,0.66,0.802,141.0,3.44,41.6,73.0,6.0,2.6,13.618,2.0,0.6,3.44,13.618054,16.0,6.0,400.0,300.0,1.52,1.55,432.3788,1.2,0.0,605.392,1.553,1.3,1.55,1.329,0.0,1.0,2.0,4.0,0.0,0.0,-182.56143333333333,-514.6923,-9.0305,-8.77533674,5.0
F,9,0.0,17.1,85.01,1.108,3.74,3.4011897,7.0,6.54,0.51,17.0,0.0,53.53,2,6,0.0,0.028,147.0,57.0,64,3.98,24.8,79.335,9.52,67.0,50.0,150.0,336.4,171.0,585.0,1.3,0.344443,146.0,10.2,18.99840316,6e-09,True,163.0,59.0,1886.0,106,0.08,102.0,102.0,17.0,328.0,18601.60857,18.9984,0.0,2.0,53.5,3.98,0.0,5.0,0.0,0.0,2.0,1.0,7.0,84.88,1.0,0.84,1.696,0.57,0.557,328.0,3.98,696.7,71.0,7.0,0.84,8.5,1.0,0.5,3.98,17.42282,18.998,7.0,400.0,300.0,1.52,1.5,659.6475,1.2,0.0,613.614,1.555,1.3,1.539,1.299,0.0,1.0,2.0,5.0,0.0,0.0,-234.79233333333332,-663.3661,-11.1114,-12.011809920000001,5.0
Ne,10,0.0,16.8,27.1,1.204,2.6611,0.0,8.0,1.74,0.0,18.0,4.43,48.0,2,2,1.029,0.0,154.0,58.0,67,0.0,28.31,0.0,6.2,0.0,0.0,0.0,324.3,160.0,0.005,0.00012,0.38439,158.0,6.91,20.1797,0.0006,0,156.0,96.0,1898.0,113,3e-05,2.0,2.0,18.0,0.0,37232.18569,20.1797,0.0,2.0,24.56,0.0,0.0,6.0,0.0,0.0,2.0,0.0,8.0,26.92,0.0,0.02,0.9,0.58,0.39432,0.0,0.0,21.6,69.0,0.0,0.02,21.5645,0.0,0.0,0.0,21.56454,20.18,8.0,343.606,257.704,1.7,1.5,955.3367,2.0,0.0,589.427,1.732,1.3,1.785,1.38,0.0,1.0,2.0,6.0,0.0,0.0,-293.5106666666666,-830.7932,-13.3338,-23.55357224,5.0
